"marker","outcome","arm_type","panel","asv","taxon","rho","p","eBH","neglog10p","direction"
"16S","MP retention","corr","16S | MP retention","76a12bde0263c31c5275292cb5b1d6f2","Roseococcus",-0.724866666666667,0.0396341490299824,0.881449046112932,1.40193046194517,"Negative"
"16S","MP retention","corr","16S | MP retention","6815f1f2c2d38299f363940f8e312c3c","Deinococcaceae Family",0.7259,0.0509990740740741,0.814165551865795,1.29243770876816,"Positive"
"16S","MP retention","corr","16S | MP retention","56483f8000e7a15a0ef8932e02cff7c4","Micavibrionales Order",0.684666666666667,0.0520429067460318,0.908778400028477,1.28363845483706,"Positive"
"16S","MP retention","corr","16S | MP retention","b701af8d98ca714dab16ab6724bb631a","Galbitalea",0.710416666666667,0.0569638117283951,0.83857317033287,1.24440095762223,"Positive"
"16S","MP retention","corr","16S | MP retention","9a7f96749fc3614a624e31996bd7b4d4","Vermiphilaceae Family",-0.659533333333333,0.0650545138888889,0.910137888290184,1.18672256399058,"Negative"
"16S","MP retention","corr","16S | MP retention","1e046bb4b737284bdbae0d7b21a6ddbe","Fibrisoma",0.68125,0.0661637455908289,0.888161598286406,1.1793799169473,"Positive"
"16S","MP retention","corr","16S | MP retention","b2e60e821619cb52dbe5cacdd38b9822","Pseudobdellovibrionaceae Family",0.669266666666667,0.0779654376102293,0.875532190980152,1.10809787912645,"Positive"
"16S","MP retention","corr","16S | MP retention","01e7f9814849bf1e4a5ce63fb0d4b61a","Shackletoniella",-0.666516666666667,0.0783521604938272,0.885174874018972,1.10594902373131,"Negative"
"16S","MP retention","corr","16S | MP retention","5da845af2892f5c8fd8161364c7b4997","Sandarakinorhabdus",-0.631083333333333,0.0815678461199295,0.910809363330501,1.08848100551899,"Negative"
"16S","MP retention","corr","16S | MP retention","89c76625e45ab0499f29cc2dc2beb69c","SL56 marine group Class",0.6295,0.0861133377425044,0.910358906037937,1.06492957724137,"Positive"
"16S","MP retention","corr","16S | MP retention","241dabd4901db50f657e8e9e90977528","Oligoflexaceae Family",0.6178,0.0954326113315697,0.913562921201992,1.0203031923694,"Positive"
"16S","MP retention","corr","16S | MP retention","73ab6d6608a93a7bc935f8048997c6fc","Rhodospirillales Order",0.605483333333333,0.099551598324515,0.915136766769081,1.00195176287972,"Positive"
"16S","MP retention","corr","16S | MP retention","556c3d1034e2eec13db898aa075da658","Candidatus Jidaibacter",-0.60005,0.116159793871252,0.911682937564459,0.934944167310796,"Negative"
"16S","MP retention","corr","16S | MP retention","1e8f19b66fc4e38497f12df420b9b9c2","Armatimonadaceae Family",0.582,0.118178328924162,0.917670365095114,0.927462155362836,"Positive"
"16S","MP retention","corr","16S | MP retention","ee2d56600bef5d134884d0354366d6e8","Paracaedibacteraceae Family",-0.5736,0.119767151675485,0.918036428067826,0.921662278793385,"Negative"
"16S","MP retention","corr","16S | MP retention","23a4b6bc2c58466eb2b87814a8ebbbf7","Comamonadaceae Family",0.562716666666667,0.124395849867725,0.91833221136839,0.905194108468445,"Positive"
"16S","MP retention","corr","16S | MP retention","396bbebd81d93d6c824d49cc652eb76a","Flavipsychrobacter",-0.572833333333333,0.126483724647266,0.916134708681064,0.89796535393972,"Negative"
"16S","MP retention","corr","16S | MP retention","7a2f122fddae43a0010e633c008bc09b","Blfdi19 Order",-0.588016666666667,0.129551680996473,0.915054538095173,0.887556947458119,"Negative"
"16S","MP retention","corr","16S | MP retention","328990122454db415c3696781e42778f","Phormidesmis",0.595383333333333,0.132255594135802,0.895728105831835,0.878585949153436,"Positive"
"16S","MP retention","corr","16S | MP retention","15186d19694f00776956343942b4f186","Gloeobacter",0.560933333333333,0.132422371031746,0.919131085617662,0.878038640312238,"Positive"
"16S","MP retention","corr","16S | MP retention","649f026cd615015b1c0f8e760d309122","Luteimonas",-0.577666666666667,0.133016666666667,0.916384456636135,0.876093939575177,"Negative"
"16S","MP retention","corr","16S | MP retention","c4e72b68a0138eb7ed4ec9390f496838","Luteolibacter",-0.559633333333333,0.137229899691358,0.919789660261424,0.862551254108514,"Negative"
"16S","MP retention","corr","16S | MP retention","92886da043b3cfb88c385fc9b72752d5","Panacibacter",-0.56685,0.14046440696649,0.918265967420522,0.852433710039023,"Negative"
"16S","MP retention","corr","16S | MP retention","3505278bbef674c198e14875912fa8e5","Nocardioides",-0.592966666666667,0.143286441798942,0.893798768331491,0.843794901929784,"Negative"
"16S","MP retention","corr","16S | MP retention","254cd54eaf0e7301dc9d0c9e2dc53710","Nodosilineaceae Family",-0.601816666666667,0.145454668209877,0.874157941404664,0.83727233598271,"Negative"
"16S","MP retention","corr","16S | MP retention","794fea1efb1825bf0a088dd1c923bca0","Candidatus Amoebophilus",0.532416666666667,0.153522354497354,0.922621676245694,0.813828377659195,"Positive"
"16S","MP retention","corr","16S | MP retention","61c901297973162caaee28a638a3d9d9","Solirubrobacteraceae Family",0.563766666666667,0.156165773809524,0.909220419610485,0.806414142509988,"Positive"
"16S","MP retention","corr","16S | MP retention","9cdde29fca3a13e2e0f5d96088860c87","Nostoc",-0.531216666666667,0.156262301587302,0.922380949274456,0.806145783256294,"Negative"
