"sample","Observed","Shannon","Location","CorralLetter","Replicate","plastic_concentration","Date","plastic_conc_log","mass_of_PS_g","mass_of_PE_g","mass_of_PET_g","plastic_mass","plastic_mass_log","particles_total_d20","total_mps","plastic_level","Berger_Parker","Week","Corral","log10_plastic","Berger_Parker_logit","Endpoint"
"WS_A_3",131,3.77083636613009,"WS","A","1",24,"3",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,NA,NA,"low",0.115,"3","A",1.39794000867204,-2.04065551664468,"Wall strip (week 9)"
"WS_B_3",50,2.50090595206281,"WS","B","1",0,"3",0,0,0,0,0,0,NA,NA,"none",0.2338,"3","B",0,-1.18697718322858,"Wall strip (week 9)"
"WS_C_3",67,2.68405219495655,"WS","C","1",414,"3",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,NA,NA,"medium",0.377,"3","C",2.61804809671209,-0.502301331339442,"Wall strip (week 9)"
"WS_D_6",86,2.74264742572695,"WS","D","1",29240,"6",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,NA,NA,"high",0.3226,"6","D",4.46599222078431,-0.741848774692563,"Wall strip (week 9)"
"WS_E_3",116,3.80792277495232,"WS","E","1",100,"3",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.1022,"3","E",2.00432137378264,-2.17301564857823,"Wall strip (week 9)"
"WS_E_6",148,2.81301953481578,"WS","E","1",100,"6",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.19,"6","E",2.00432137378264,-1.450010175506,"Wall strip (week 9)"
"WS_F_3",93,1.55188338364788,"WS","F","1",6,"3",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,NA,NA,"low",0.7028,"3","F",0.845098040014257,0.860667043469338,"Wall strip (week 9)"
"WS_F_6",96,2.70754477569278,"WS","F","1",6,"6",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,NA,NA,"low",0.3086,"6","F",0.845098040014257,-0.806672587558464,"Wall strip (week 9)"
"WS_H_3",81,1.86756568216217,"WS","H","1",0,"3",0,0,0,0,0,0,NA,NA,"none",0.5836,"3","H",0,0.337569479907817,"Wall strip (week 9)"
"WS_I_3",113,1.4913664336906,"WS","I","1",1710,"3",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,NA,NA,"medium",0.744,"3","I",3.2332500095411,1.06686359035353,"Wall strip (week 9)"
"WS_I_6",127,3.29093887337567,"WS","I","1",1710,"6",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,NA,NA,"medium",0.1674,"6","I",3.2332500095411,-1.6041671767055,"Wall strip (week 9)"
"MS_D_9",53,1.0271436442218,"MS","D","1",29240,"10",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,28.290738683,107320,"high",0.8098,"10","D",4.46599222078431,1.44871115348677,"Microscope slide (week 10)"
"MS_E_9",28,0.488248944305609,"MS","E","1",100,"10",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,0.413181497530989,NA,"medium",0.9206,"10","E",2.00432137378264,2.45052726313005,"Microscope slide (week 10)"
"MS_F_9",72,2.38747257385534,"MS","F","1",6,"10",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,0.16869898216,246.4,"low",0.4408,"10","F",0.845098040014257,-0.237915933080896,"Microscope slide (week 10)"
"MS_G_9",79,1.69977594611249,"MS","G","1",7071,"10",8.86389860431748,901.5525,943.9785,1110.147,2955.678,7.9918216197736,28.0963418321072,NA,"high",0.694,"10","G",3.84954225200502,0.818886858554424,"Microscope slide (week 10)"
"MS_H_9",89,1.93652121731669,"MS","H","1",0,"10",0,0,0,0,0,0,0.8754408949,1193.92,"none",0.6104,"10","H",0,0.448993908201867,"Microscope slide (week 10)"
"MS_I_9",96,3.12263141357456,"MS","I","1",1710,"10",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,0.896906177567268,NA,"medium",0.2728,"10","I",3.2332500095411,-0.980462616893962,"Microscope slide (week 10)"
"WS_A_9",76,1.61721358362043,"WS","A","1",24,"9",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,0.181396755013605,NA,"low",0.624,"9","A",1.39794000867204,0.506561224979533,"Wall strip (week 9)"
"WS_B_9",85,2.48007042518004,"WS","B","1",0,"9",0,0,0,0,0,0,0.0302327925022675,NA,"none",0.4194,"9","B",0,-0.32523693312271,"Wall strip (week 9)"
"WS_C_9",85,1.88037928655952,"WS","C","1",414,"9",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,0.060465585,NA,"medium",0.6404,"9","C",2.61804809671209,0.577100678525094,"Wall strip (week 9)"
"WS_D_9",69,2.29960361786115,"WS","D","1",29240,"9",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,28.290738683,NA,"high",0.479,"9","D",4.46599222078431,-0.0840494443424517,"Wall strip (week 9)"
"WS_E_9",56,1.48097443861547,"WS","E","1",100,"9",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,0.413181497530989,NA,"medium",0.6586,"9","E",2.00432137378264,0.657061559581924,"Wall strip (week 9)"
"WS_F_9",80,1.86676570025061,"WS","F","1",6,"9",1.94591014905531,0.765,0.801,0.942,2.508,1.25504607450994,0.16869898216,NA,"low",0.4766,"9","F",0.845098040014257,-0.0936684254314036,"Wall strip (week 9)"
"WS_G_9",89,2.47422797980733,"WS","G","1",7071,"9",8.86389860431748,901.5525,943.9785,1110.147,2955.678,7.9918216197736,28.0963418321072,NA,"high",0.2518,"9","G",3.84954225200502,-1.0890352003038,"Wall strip (week 9)"
"WS_H_9",68,0.897681551900914,"WS","H","1",0,"9",0,0,0,0,0,0,0.8754408949,NA,"none",0.8606,"9","H",0,1.82028232207808,"Wall strip (week 9)"
"WS_I_9",120,3.76685752842137,"WS","I","1",1710,"9",7.44483327389219,218.025,228.285,268.47,714.78,6.573372857176,0.896906177567268,NA,"medium",0.1372,"9","I",3.2332500095411,-1.83874319922322,"Wall strip (week 9)"
