"sample","Observed","Shannon","Location","CorralLetter","Replicate","plastic_concentration","Date","plastic_conc_log","mass_of_PS_g","mass_of_PE_g","mass_of_PET_g","plastic_mass","plastic_mass_log","particles_total_d20","total_mps","plastic_level","Berger_Parker","Week","Corral","Berger_Parker_logit","log10_plastic","sampling_group"
"WS_A_3",159,4.02000762499138,"WS","A","1",24,"3",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,NA,NA,"low",0.109,"3","A",-2.10099654524167,1.39794000867204,"WS week 3"
"WS_A_6",121,2.55495742086191,"WS","A","1",24,"6",3.2188758248682,3.06,3.204,3.768,10.032,2.400800140491,NA,NA,"low",0.4182,"6","A",-0.330166959066568,1.39794000867204,"WS week 6"
"WS_B_3",76,1.7467057821903,"WS","B","1",0,"3",0,0,0,0,0,0,NA,NA,"none",0.5704,"3","B",0.283483325905431,0,"WS week 3"
"WS_B_6",128,3.69904827828324,"WS","B","1",0,"6",0,0,0,0,0,0,NA,NA,"none",0.1526,"6","B",-1.7143527193421,0,"WS week 6"
"WS_C_3",133,3.40025441077075,"WS","C","1",414,"3",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,NA,NA,"medium",0.147,"3","C",-1.75832696071294,2.61804809671209,"WS week 3"
"WS_C_6",174,3.8926994720617,"WS","C","1",414,"6",6.0282785202307,52.785,55.269,64.998,173.052,5.1593541051423,NA,NA,"medium",0.1244,"6","C",-1.95140718534363,2.61804809671209,"WS week 6"
"WS_D_3",120,2.83408027639064,"WS","D","1",29240,"3",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,NA,NA,"high",0.3768,"3","D",-0.503152951854331,4.46599222078431,"WS week 3"
"WS_D_6",151,2.44857420997911,"WS","D","1",29240,"6",10.2833271130053,3728.1,3903.54,4590.68,12222.32,9.41110088158674,NA,NA,"high",0.5496,"6","D",0.199054664082659,4.46599222078431,"WS week 6"
"WS_E_3",75,1.04713056701694,"WS","E","1",100,"3",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.8046,"3","E",1.41529651990701,2.00432137378264,"WS week 3"
"WS_E_6",161,3.5193933340388,"WS","E","1",100,"6",4.61512051684126,12.75,13.35,15.7,41.8,3.75653810258775,NA,NA,"medium",0.2132,"6","E",-1.30574339422321,2.00432137378264,"WS week 6"
