"asv","Genus","transform_a","transform_b","importance_a","importance_b","diff","abs_diff","comparison","pair","rank"
"4908860ec5698faf7d674e649045fca3","Bursaria","clr_1","clr_0.5",0.145024846472268,0.144152515504554,0.000872330967714385,0.000872330967714385,"pc = 1 − pc = 0.5","clr_1_clr_0.5",1
"16b4cdc34a6e7058c9f5300872db9ee6","Ploimida","clr_1","clr_0.5",0.128276512611754,0.124585604357209,0.00369090825454507,0.00369090825454507,"pc = 1 − pc = 0.5","clr_1_clr_0.5",2
"06cd53a450c53873d575d2eaa59a9b68","Flosculariacea","clr_1","clr_0.5",0.114477035066035,0.112321242833809,0.00215579223222633,0.00215579223222633,"pc = 1 − pc = 0.5","clr_1_clr_0.5",3
"4ee497cac87ad5a34b4b2413cf63e127","Flosculariacea","clr_1","clr_0.5",0.0818928866754945,0.0818261170003878,6.67696751066593e-05,6.67696751066593e-05,"pc = 1 − pc = 0.5","clr_1_clr_0.5",4
"4bb3924a5ab6ca67ef1a2c68acd8df01","Ophrydium","clr_1","clr_0.5",0.0745539595811369,0.0715458531674796,0.00300810641365723,0.00300810641365723,"pc = 1 − pc = 0.5","clr_1_clr_0.5",5
"5c27a470a0be8e3c56f41cad35c5cb83","Leptophrys","clr_1","clr_0.5",0.05747792812992,0.0712553531022119,-0.0137774249722918,0.0137774249722918,"pc = 1 − pc = 0.5","clr_1_clr_0.5",6
"1855ed4ffbfc852ec5697f092cf1b9a9","Chaetosphaeridium","clr_1","clr_0.5",0.0557024700143566,0.0566868582702343,-0.000984388255877676,0.000984388255877676,"pc = 1 − pc = 0.5","clr_1_clr_0.5",7
"4b531bb48517bb754f2cc73630f170f5","Stokesia","clr_1","clr_0.5",0.0460114535078299,0.0442478803463222,0.00176357316150763,0.00176357316150763,"pc = 1 − pc = 0.5","clr_1_clr_0.5",8
"d71ad38ffb20ceeadb129ca764b8dd68","Flosculariacea","clr_1","clr_0.5",0.0420813624766265,0.042093542177661,-1.21797010345023e-05,1.21797010345023e-05,"pc = 1 − pc = 0.5","clr_1_clr_0.5",9
"064c293b111aadbdb84ffdb82867051e","Stenostomidae","clr_1","clr_0.5",0.035069193992916,0.0342784843382182,0.000790709654697803,0.000790709654697803,"pc = 1 − pc = 0.5","clr_1_clr_0.5",10
