"marker","transform","fold","sample_id","y_obs","y_pred","abs_err","fold_rmse","fold_mae"
"16S","clr_1",1,"WS_A_9",-0.741370486252166,-0.433529959762379,0.307840526489787,0.307840526489787,0.307840526489787
"16S","clr_1",2,"WS_B_9",-1.51952173663581,0.140047625069223,1.65956936170503,1.65956936170503,1.65956936170503
"16S","clr_1",3,"WS_C_9",-1.2184917410044,-0.0639254917863528,1.15456624921805,1.15456624921805,1.15456624921805
"16S","clr_1",4,"WS_D_9",1.4516442872153,0.0796937675292144,1.37195051968609,1.37195051968609,1.37195051968609
"16S","clr_1",5,"WS_E_9",-0.383859134635737,-0.18586378448795,0.197995350147787,0.197995350147787,0.197995350147787
"16S","clr_1",6,"WS_F_9",-0.77288753770506,-0.273378316379503,0.499509221325556,0.499509221325556,0.499509221325556
"16S","clr_1",7,"WS_G_9",1.4486497780705,-0.233426789597107,1.68207656766761,1.68207656766761,1.68207656766761
"16S","clr_1",8,"WS_H_9",-0.0577731698378514,-0.4331713048419,0.375398135004049,0.375398135004049,0.375398135004049
"16S","clr_1",9,"WS_I_9",-0.0472529847105597,-0.184261263544835,0.137008278834275,0.137008278834275,0.137008278834275
"16S","clr_0.5",1,"WS_A_9",-0.741370486252166,-0.441729496256196,0.29964098999597,0.29964098999597,0.29964098999597
"16S","clr_0.5",2,"WS_B_9",-1.51952173663581,0.134811092117398,1.65433282875321,1.65433282875321,1.65433282875321
"16S","clr_0.5",3,"WS_C_9",-1.2184917410044,-0.0549245753128021,1.1635671656916,1.1635671656916,1.1635671656916
"16S","clr_0.5",4,"WS_D_9",1.4516442872153,0.0788590749294768,1.37278521228582,1.37278521228582,1.37278521228582
"16S","clr_0.5",5,"WS_E_9",-0.383859134635737,-0.188617877190481,0.195241257445256,0.195241257445256,0.195241257445256
"16S","clr_0.5",6,"WS_F_9",-0.77288753770506,-0.258012268145639,0.51487526955942,0.51487526955942,0.51487526955942
"16S","clr_0.5",7,"WS_G_9",1.4486497780705,-0.235984187607717,1.68463396567822,1.68463396567822,1.68463396567822
"16S","clr_0.5",8,"WS_H_9",-0.0577731698378514,-0.438266693656445,0.380493523818594,0.380493523818594,0.380493523818594
"16S","clr_0.5",9,"WS_I_9",-0.0472529847105597,-0.178125158070479,0.130872173359919,0.130872173359919,0.130872173359919
"16S","clr_0.1",1,"WS_A_9",-0.741370486252166,-0.435496767694191,0.305873718557976,0.305873718557976,0.305873718557976
"16S","clr_0.1",2,"WS_B_9",-1.51952173663581,0.141907003889381,1.66142874052519,1.66142874052519,1.66142874052519
"16S","clr_0.1",3,"WS_C_9",-1.2184917410044,-0.0385881828624305,1.17990355814197,1.17990355814197,1.17990355814197
"16S","clr_0.1",4,"WS_D_9",1.4516442872153,0.0661543479250448,1.38548993929025,1.38548993929025,1.38548993929025
"16S","clr_0.1",5,"WS_E_9",-0.383859134635737,-0.185285440201486,0.198573694434251,0.198573694434251,0.198573694434251
"16S","clr_0.1",6,"WS_F_9",-0.77288753770506,-0.265010334800374,0.507877202904686,0.507877202904686,0.507877202904686
"16S","clr_0.1",7,"WS_G_9",1.4486497780705,-0.129473444049989,1.57812322212049,1.57812322212049,1.57812322212049
"16S","clr_0.1",8,"WS_H_9",-0.0577731698378514,-0.412121569786725,0.354348399948873,0.354348399948873,0.354348399948873
"16S","clr_0.1",9,"WS_I_9",-0.0472529847105597,-0.157012348511843,0.109759363801284,0.109759363801284,0.109759363801284
"16S","rclr",1,"WS_A_9",-0.741370486252166,-0.290599401284994,0.450771084967173,0.450771084967173,0.450771084967173
"16S","rclr",2,"WS_B_9",-1.51952173663581,-0.0308767393796765,1.48864499725613,1.48864499725613,1.48864499725613
"16S","rclr",3,"WS_C_9",-1.2184917410044,-0.230746689313705,0.987745051690696,0.987745051690696,0.987745051690696
"16S","rclr",4,"WS_D_9",1.4516442872153,-0.193574279421909,1.64521856663721,1.64521856663721,1.64521856663721
"16S","rclr",5,"WS_E_9",-0.383859134635737,-0.0658858769199355,0.317973257715802,0.317973257715802,0.317973257715802
"16S","rclr",6,"WS_F_9",-0.77288753770506,-0.234013763259003,0.538873774446057,0.538873774446057,0.538873774446057
"16S","rclr",7,"WS_G_9",1.4486497780705,-0.244243293464213,1.69289307153471,1.69289307153471,1.69289307153471
"16S","rclr",8,"WS_H_9",-0.0577731698378514,-0.495501624941878,0.437728455104026,0.437728455104026,0.437728455104026
"16S","rclr",9,"WS_I_9",-0.0472529847105597,-0.266856290099354,0.219603305388795,0.219603305388795,0.219603305388795
"16S","rclr_optspace",1,"WS_A_9",-0.741370486252166,-0.44982829695405,0.291542189298116,0.291542189298116,0.291542189298116
"16S","rclr_optspace",2,"WS_B_9",-1.51952173663581,0.601979978996388,2.1215017156322,2.1215017156322,2.1215017156322
"16S","rclr_optspace",3,"WS_C_9",-1.2184917410044,-0.441658862441408,0.776832878562993,0.776832878562993,0.776832878562993
"16S","rclr_optspace",4,"WS_D_9",1.4516442872153,0.552218568341623,0.899425718873676,0.899425718873676,0.899425718873676
"16S","rclr_optspace",5,"WS_E_9",-0.383859134635737,0.884306646490928,1.26816578112667,1.26816578112667,1.26816578112667
"16S","rclr_optspace",6,"WS_F_9",-0.77288753770506,-0.289869291241914,0.483018246463146,0.483018246463146,0.483018246463146
"16S","rclr_optspace",7,"WS_G_9",1.4486497780705,-0.210659122564252,1.65930890063475,1.65930890063475,1.65930890063475
"16S","rclr_optspace",8,"WS_H_9",-0.0577731698378514,-0.836388892837566,0.778615722999715,0.778615722999715,0.778615722999715
"16S","rclr_optspace",9,"WS_I_9",-0.0472529847105597,-0.271685716977154,0.224432732266595,0.224432732266595,0.224432732266595
"16S","pa",1,"WS_A_9",-0.741370486252166,-0.221690496850921,0.519679989401245,0.519679989401245,0.519679989401245
"16S","pa",2,"WS_B_9",-1.51952173663581,0.105315124634911,1.62483686127072,1.62483686127072,1.62483686127072
"16S","pa",3,"WS_C_9",-1.2184917410044,-0.0818366961779891,1.13665504482641,1.13665504482641,1.13665504482641
"16S","pa",4,"WS_D_9",1.4516442872153,0.0415289273842622,1.41011535983104,1.41011535983104,1.41011535983104
"16S","pa",5,"WS_E_9",-0.383859134635737,0.190581645105999,0.574440779741736,0.574440779741736,0.574440779741736
"16S","pa",6,"WS_F_9",-0.77288753770506,-0.143097421993055,0.629790115712004,0.629790115712004,0.629790115712004
"16S","pa",7,"WS_G_9",1.4486497780705,-0.00324275368149622,1.451892531752,1.451892531752,1.451892531752
"16S","pa",8,"WS_H_9",-0.0577731698378514,-0.383684340578401,0.325911170740549,0.325911170740549,0.325911170740549
"16S","pa",9,"WS_I_9",-0.0472529847105597,-0.0806318201861572,0.0333788354755976,0.0333788354755976,0.0333788354755976
"18S","clr_1",1,"WS_A_9",-0.741370486252166,-0.228223540614497,0.51314694563767,0.51314694563767,0.51314694563767
"18S","clr_1",2,"WS_B_9",-1.51952173663581,-0.0735280000918451,1.44599373654397,1.44599373654397,1.44599373654397
"18S","clr_1",3,"WS_C_9",-1.2184917410044,0.129080522528863,1.34757226353326,1.34757226353326,1.34757226353326
"18S","clr_1",4,"WS_D_9",1.4516442872153,-0.150474916360249,1.60211920357555,1.60211920357555,1.60211920357555
"18S","clr_1",5,"WS_E_9",-0.383859134635737,0.265404376710249,0.649263511345986,0.649263511345986,0.649263511345986
"18S","clr_1",6,"WS_F_9",-0.77288753770506,-0.00736338826635656,0.765524149438703,0.765524149438703,0.765524149438703
"18S","clr_1",7,"WS_G_9",1.4486497780705,-0.110763703780091,1.55941348185059,1.55941348185059,1.55941348185059
"18S","clr_1",8,"WS_H_9",-0.0577731698378514,0.0327057005806363,0.0904788704184877,0.0904788704184877,0.0904788704184877
"18S","clr_1",9,"WS_I_9",-0.0472529847105597,-0.123925734409369,0.0766727496988097,0.0766727496988097,0.0766727496988097
"18S","clr_0.5",1,"WS_A_9",-0.741370486252166,-0.237590860503218,0.503779625748949,0.503779625748949,0.503779625748949
"18S","clr_0.5",2,"WS_B_9",-1.51952173663581,-0.04645480728375,1.47306692935206,1.47306692935206,1.47306692935206
"18S","clr_0.5",3,"WS_C_9",-1.2184917410044,0.117124350565161,1.33561609156956,1.33561609156956,1.33561609156956
"18S","clr_0.5",4,"WS_D_9",1.4516442872153,-0.144724765443804,1.5963690526591,1.5963690526591,1.5963690526591
"18S","clr_0.5",5,"WS_E_9",-0.383859134635737,0.266124884848444,0.649984019484181,0.649984019484181,0.649984019484181
"18S","clr_0.5",6,"WS_F_9",-0.77288753770506,-0.0275895669795461,0.745297970725514,0.745297970725514,0.745297970725514
"18S","clr_0.5",7,"WS_G_9",1.4486497780705,-0.116765821406091,1.56541559947659,1.56541559947659,1.56541559947659
"18S","clr_0.5",8,"WS_H_9",-0.0577731698378514,0.033948934791479,0.0917221046293304,0.0917221046293304,0.0917221046293304
"18S","clr_0.5",9,"WS_I_9",-0.0472529847105597,-0.143451239201826,0.0961982544912666,0.0961982544912666,0.0961982544912666
"18S","clr_0.1",1,"WS_A_9",-0.741370486252166,-0.262564210281431,0.478806275970736,0.478806275970736,0.478806275970736
"18S","clr_0.1",2,"WS_B_9",-1.51952173663581,-0.0685172805082269,1.45100445612758,1.45100445612758,1.45100445612758
"18S","clr_0.1",3,"WS_C_9",-1.2184917410044,0.0895739730517631,1.30806571405616,1.30806571405616,1.30806571405616
"18S","clr_0.1",4,"WS_D_9",1.4516442872153,-0.151031408507533,1.60267569572283,1.60267569572283,1.60267569572283
"18S","clr_0.1",5,"WS_E_9",-0.383859134635737,0.289434912802125,0.673294047437862,0.673294047437862,0.673294047437862
"18S","clr_0.1",6,"WS_F_9",-0.77288753770506,-0.06686938525786,0.7060181524472,0.7060181524472,0.7060181524472
"18S","clr_0.1",7,"WS_G_9",1.4486497780705,-0.108771481450196,1.5574212595207,1.5574212595207,1.5574212595207
"18S","clr_0.1",8,"WS_H_9",-0.0577731698378514,0.00417897871678331,0.0619521485546347,0.0619521485546347,0.0619521485546347
"18S","clr_0.1",9,"WS_I_9",-0.0472529847105597,-0.176464908315635,0.129211923605075,0.129211923605075,0.129211923605075
"18S","rclr",1,"WS_A_9",-0.741370486252166,-0.294555119128136,0.446815367124031,0.446815367124031,0.446815367124031
"18S","rclr",2,"WS_B_9",-1.51952173663581,-0.121306660746544,1.39821507588927,1.39821507588927,1.39821507588927
"18S","rclr",3,"WS_C_9",-1.2184917410044,-0.0802404964053716,1.13825124459903,1.13825124459903,1.13825124459903
"18S","rclr",4,"WS_D_9",1.4516442872153,-0.352122521297285,1.80376680851258,1.80376680851258,1.80376680851258
"18S","rclr",5,"WS_E_9",-0.383859134635737,-0.29267380675134,0.091185327884397,0.091185327884397,0.091185327884397
"18S","rclr",6,"WS_F_9",-0.77288753770506,-0.115463730959822,0.657423806745238,0.657423806745238,0.657423806745238
"18S","rclr",7,"WS_G_9",1.4486497780705,-0.280986964280151,1.72963674235065,1.72963674235065,1.72963674235065
"18S","rclr",8,"WS_H_9",-0.0577731698378514,-0.385623303412916,0.327850133575065,0.327850133575065,0.327850133575065
"18S","rclr",9,"WS_I_9",-0.0472529847105597,-0.197997137221103,0.150744152510543,0.150744152510543,0.150744152510543
"18S","rclr_optspace",1,"WS_A_9",-0.741370486252166,-0.449718052052093,0.291652434200073,0.291652434200073,0.291652434200073
"18S","rclr_optspace",2,"WS_B_9",-1.51952173663581,0.245962462460679,1.76548419909649,1.76548419909649,1.76548419909649
"18S","rclr_optspace",3,"WS_C_9",-1.2184917410044,-0.13883309555475,1.07965864544965,1.07965864544965,1.07965864544965
"18S","rclr_optspace",4,"WS_D_9",1.4516442872153,0.276840734399188,1.17480355281611,1.17480355281611,1.17480355281611
"18S","rclr_optspace",5,"WS_E_9",-0.383859134635737,-0.66539985708458,0.281540722448843,0.281540722448843,0.281540722448843
"18S","rclr_optspace",6,"WS_F_9",-0.77288753770506,-0.603117571454829,0.169769966250231,0.169769966250231,0.169769966250231
"18S","rclr_optspace",7,"WS_G_9",1.4486497780705,-0.0347322823532105,1.48338206042371,1.48338206042371,1.48338206042371
"18S","rclr_optspace",8,"WS_H_9",-0.0577731698378514,-0.640200798538278,0.582427628700427,0.582427628700427,0.582427628700427
"18S","rclr_optspace",9,"WS_I_9",-0.0472529847105597,0.637591669580916,0.684844654291475,0.684844654291475,0.684844654291475
"18S","pa",1,"WS_A_9",-0.741370486252166,-0.0981820286249195,0.643188457627247,0.643188457627247,0.643188457627247
"18S","pa",2,"WS_B_9",-1.51952173663581,-0.0227622997372851,1.49675943689852,1.49675943689852,1.49675943689852
"18S","pa",3,"WS_C_9",-1.2184917410044,0.0944630751090624,1.31295481611346,1.31295481611346,1.31295481611346
"18S","pa",4,"WS_D_9",1.4516442872153,-0.259212366099212,1.71085665331451,1.71085665331451,1.71085665331451
"18S","pa",5,"WS_E_9",-0.383859134635737,0.092174951435622,0.476034086071359,0.476034086071359,0.476034086071359
"18S","pa",6,"WS_F_9",-0.77288753770506,0.210618921575182,0.983506459280242,0.983506459280242,0.983506459280242
"18S","pa",7,"WS_G_9",1.4486497780705,-0.283262425142922,1.73191220321342,1.73191220321342,1.73191220321342
"18S","pa",8,"WS_H_9",-0.0577731698378514,-0.118216687396835,0.0604435175589835,0.0604435175589835,0.0604435175589835
"18S","pa",9,"WS_I_9",-0.0472529847105597,-0.246733945476788,0.199480960766228,0.199480960766228,0.199480960766228
