"marker","transform","n_trees","loo_rmse","loo_mae","loo_r2","oob_mse","oob_r2"
"16S","clr_1",10000,1.01882262860178,0.820657134453136,-0.0469687095581217,1.00987616082309,0.0945757218947461
"16S","clr_0.5",10000,1.02024723348367,0.821826931843112,-0.0498986788697864,1.01752573894398,0.0877173426036912
"16S","clr_0.1",10000,1.00504906159816,0.809041982191664,-0.0188519064807118,1.00293888450476,0.100795473034745
"16S","rclr",10000,1.03273389168154,0.8643835071934,-0.0757550586404601,1.0404254611738,0.0671861475194867
"16S","rclr_optspace",10000,1.11801768623144,0.944760431761984,-0.260764249211392,1.29882160698556,-0.164483984782777
"16S","pa",10000,1.00733499321483,0.856300076527922,-0.0234918280499101,1.01674926870618,0.0884135022238556
"18S","clr_1",10000,1.06407813499169,0.894464990227003,-0.142045945079116,1.09553515293961,0.0177764725322229
"18S","clr_0.5",10000,1.06469223119483,0.895272183126284,-0.1433645107535,1.09424553602096,0.0189327038731458
"18S","clr_0.1",10000,1.05473303388849,0.885383297049198,-0.122074348010514,1.06546046263791,0.0447405259597817
"18S","rclr",10000,1.06803108370562,0.860432073243423,-0.150546889276344,1.12883345273451,-0.0120777712092681
"18S","rclr_optspace",10000,0.992447327359518,0.834840429297446,0.00653751802195801,0.986004504734286,0.115978323342201
"18S","pa",10000,1.13243692000071,0.957237398982665,-0.293494473219509,1.28451034031328,-0.151652937969123
"16S","mean_across_transforms",10000,1.0337009158019,0.852828343995203,-0.0792884051350637,1.06438952018956,0.0457007004156247
"18S","mean_across_transforms",10000,1.06273645519014,0.887938395321003,-0.140831441386171,1.10909824156343,0.00561621942149336
