ASV	WS_A_3	WS_A_6	WS_B_3	WS_B_6	WS_C_3	WS_C_6	WS_D_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_3	WS_G_6	WS_H_3	WS_H_6	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
3e531850424a70ed9f0425a57a4f7db5	134	31	6	114	139	651	10	240	13	523	190	827	0	51	1951	1079	2051	351	6265	1797	507	633	258	6534	971	15969	108
16c1e90853ad4b0f2412b26d501b3eb4	154	602	0	576	48	1094	24	1989	8	2359	151	793	21	575	140	335	85	1104	2676	124	1808	4672	2960	6379	1672	346	561
07da22cab5c55a4badb462bcbbded642	29	5742	28	422	246	355	5557	7551	687	2927	611	1781	1544	295	465	29	419	1835	0	0	0	0	0	0	0	0	0
81cec2eddec4a751a5aaee47581bc17c	118	699	0	331	20	786	56	1869	0	1557	27	1144	0	308	22	76	14	2374	840	60	1555	1572	7303	886	2221	990	684
b46a4a2442307f0ebca0431aba8e1822	0	84	0	89	0	97	0	28	0	689	0	150	0	21	0	21	0	218	2486	61	717	1724	10174	5948	1680	158	73
8df2b2e6c1cb64bd18b81d5bae7f0898	18	44	29	70	34	17	21	116	17814	70	25	36	3412	0	23	27	335	18	0	15	0	40	74	34	0	0	0
6c9f91b861ced47f136e2bf9b8b7a152	2	54	0	87	0	47	0	185	0	111	0	33	0	27	3	0	0	165	1161	3670	1152	3927	1752	592	2609	354	2722
8df5a5aaa4151285e928fba5be95a4d3	509	570	64	925	997	649	135	245	82	845	3782	240	0	117	675	755	1022	1744	202	121	395	84	487	50	111	82	229
f721d83108dd078d9769b367dfa3c1d9	13	0	18	0	46	0	0	0	13160	0	40	25	946	0	18	0	266	0	0	0	0	0	0	0	0	0	17
dcba105f35d8ebc9e22269c7491ad3a7	417	1326	189	79	554	140	2790	995	105	438	117	304	182	625	256	90	221	750	0	0	0	0	0	8	0	0	0
48a7af65c55adc4dd66178efefb01ed9	10	21	0	94	10	37	0	89	18	153	54	65	4	67	17	22	18	62	242	1480	608	1428	636	337	632	398	1028
79029fa983ec4eda60117a273a52cfc0	550	0	40	24	2085	154	18	13	71	63	2760	70	0	18	78	145	670	195	0	0	44	0	0	0	0	8	22
5bccbebfa648aacb95a9407ca0a902f7	431	525	29	182	166	878	32	306	40	444	287	699	0	38	61	215	84	1174	43	0	152	37	44	107	42	32	60
23a4b6bc2c58466eb2b87814a8ebbbf7	224	852	14	181	179	461	118	156	18	618	173	411	23	244	201	240	99	528	54	33	144	242	190	57	107	26	158
30cc0905bd456700a4ab660aa6d3685b	0	13	0	61	0	41	0	4	0	314	12	76	0	31	0	59	2	201	401	29	163	447	1116	1824	565	97	14
653334c36340a20181971e05d9b4e110	322	27	56	21	877	20	20	0	28	13	3203	63	12	0	72	34	154	0	0	0	124	0	49	102	0	25	29
8d32cb7d685931e9669b78d2cde217c5	28	58	0	105	37	234	24	132	22	168	103	372	0	54	107	924	123	532	161	584	316	107	54	113	190	267	318
49084a39cb525b52e3adaa38f091d57f	0	103	0	58	0	122	0	194	0	297	0	539	0	114	0	119	0	520	42	37	236	32	63	1931	49	21	533
fb9358e4192b4e3fb1a6210327ee6ff2	229	110	0	69	422	271	0	107	19	156	749	236	0	0	62	378	226	410	142	181	279	116	223	108	131	98	190
