ASV	WS_A_3	WS_A_6	WS_B_3	WS_C_3	WS_D_6	WS_E_3	WS_E_6	WS_F_3	WS_F_6	WS_G_6	WS_H_3	WS_I_3	WS_I_6	WS_A_9	WS_B_9	WS_C_9	WS_D_9	WS_E_9	WS_F_9	WS_G_9	WS_H_9	WS_I_9
4f6be2c712b856a61e84670060159606	460	13	0	796	1832	516	6100	909	7703	491	3840	37344	2225	13542	3859	250	459	127	6355	1456	25276	108
aa4b53e7ab6965a4ca77c6099a1ac1a2	97	7	0	108	8433	95	25366	565	3570	5949	93	332	4275	223	46	377	1650	773	1043	818	10	237
eee0d8aaf28044d4b967a9964cf3f4b9	3584	0	23	1287	2545	2967	2254	107	2497	245	12648	19625	5392	20	61	23	38	12	222	46	10	12
4b531bb48517bb754f2cc73630f170f5	24	0	48	1931	228	12	13	29785	555	5	17569	4	5	341	316	109	5	0	27	0	0	20
f97cd9fe500ba2669dd9025a90d3f911	13	0	87	45	4878	27	6513	105	3573	2685	29	166	4913	162	25	422	623	1576	94	709	154	830
12fb51bdced3037cba798b9c29b9934d	0	0	0	0	860	0	4190	0	239	0	0	0	757	136	0	330	165	7698	4185	1858	58	617
585389c3b05a65382cb731c8e47306d8	37	0	0	33	4041	63	3305	0	4489	419	416	1354	2158	0	13	0	0	0	21	0	4	0
4bb3924a5ab6ca67ef1a2c68acd8df01	0	0	0	0	0	0	0	0	0	85	0	0	722	2932	0	0	3402	2	140	2584	494	822
61d024603eab711d331509a6946899f8	11	0	0	0	79	11	4967	0	1659	621	26	50	288	2051	178	257	84	121	109	112	223	131
b1eba0fcd36fedb4872e207fdb039ce7	0	0	0	0	96	0	2066	0	90	473	0	6	770	167	230	375	547	4247	187	640	174	808
4f482a97c5cb1a08b3824f6e8ce731e7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7218	0	0	0	0	0	0
d6e234e76ddd235c373fe0afad296000	0	0	7	0	0	0	152	2865	0	0	6	0	2279	0	0	0	0	0	0	0	0	0
2e30e2fdb8f5fac8b67a95395cdcb2f5	0	0	4	0	0	2	819	0	659	106	0	16	181	105	71	806	106	2066	182	0	105	0
